name,otherNames,scientificName,popularity
Aardonyx,,,10
Aardvark,,Orycteropus afer,60
Abelisaur,,"Abelisauria, Abelisauroidea",10
Abelisauridae subclade 1,,,
Abelisauridae subclade 2,,,
Abelisauridae,,,
Abelisaurus,,,20
Abietoideae,,,
Abrictosaurus,,,10
Abrothrix longipilis,"[""Long-haired grass mouse"", ""Long-haired akodont""]",,50
Abrothrix sanborni,"[""Sanborn's grass mouse"", ""Sanborn's akodont""]",,50
Abrothrix,,,50
Acamptonectes,,,10
Acanthodes,,,
Acanthodii,"[""Spiny sharks""]",,
Acanthomeridion,,,10
Acanthostachys,,,30
Acanthostega,,,10
Acanthostomatops,,,10
Acariformes,,,10
Acheloma,,,10
Achelousaurus,,,10
Achillesaurus,,,10
Acorus,,,40
Acouchi,,,50
Acrocanthosaurus,,,10
Acrodonta subclade 1,,,
Acrodonta subclade 2,,,
Acrodonta subclade 3,,,
Acrodonta subclade 4,,,
Acrodonta,,,
Acrogymnospermae subclade 1,,,
Acrogymnospermae,,,
Actinistia,,,
Actinocerida,,,10
Aculifera subclade 1,,,
Aculifera,,,
Adamantinasuchus,,,10
Adasaurus,,,10
Addax,,Addax nasomaculatus,50
Adeopapposaurus,,,10
Aechmea,,,30
Aegisuchus,,,10
Aegodontia subclade 1,,,
Aegodontia subclade 2,,,
Aegodontia,,,
Aegyptocetus,,,
Aegyptopithecus,,,
Aelurognathus,,,10
Aelurosaurus,,,10
Aeolosaurus,,,10
Aepycamelus,,,10
Aerosaurus,,,10
Aerosteon,,,10
Aetosaur subclade 1,,,
Aetosaur,,Aetosauria,
Aetosaurus,,,20
African buffalo,,Syncerus caffer,70
African elephant,,Loxodonta,85
African palm civet,,Nandiniidae,
African rice,,,55
African striped weasel,,Poecilogale albinucha,30
Afroalpine vlei rat,,Otomys orestes,50
Afroinsectiphilia,,,
Afrosoricida,,,
Afrotheria,,,
Afrovenator,,,20
Afrovenatorinae subclade 1,,,
Afrovenatorinae,,,
Agama,,,10
Agapanthus,,,30
Agathis,,,50
Agave,,,50
Agavoideae,,,
Agile wallaby,,Macropus agilis,40
Agilisaurus,,,10
Aglaophyton,,,10
Aglaspidida,,,
Aglaspis,,,10
Agriochoerus,,,10
Agujaceratops,,,10
Ajancingenia,,,10
Akidnognathidae subclade 1,,,
Akidnognathidae,,,
Alamosaurus,,,10
Alaskacephale,,,10
Albanerpeton,,,10
Albertaceratops,,,10
Albertonykus,,,10
Albertosaurinae,,,
Albertosaurus,,,10
Alcelaphinae,,,
Alcelaphus,,,
Alioramus,,,10
Alismatid,,Alismatales,40
Alligator,,,85
Alligatoridae,,,
Alligatorinae,,,
Alligatoroidea,,,
Allioideae subclade 1,,,
Allioideae subclade 2,,,
Allioideae,,,
Allium cyathophorum,,,30
Allium subclade 1,,,
Allium subclade 2,,,
Allium subclade 3,,,
Allium subclade 4,,,
Allium victorialis,"[""victory onion"", ""Alpine leek"", ""Alpine broad-leaf allium""]",,30
Allium,,,
Allodaposuchus,,,10
Allognathosuchus,,,10
Allosauria,,,
Allosauridae,,,
Allosauroidea,,,
Allosaurus,,,65
Allotheria,,,
Aloposaurus,,,10
Alpaca,,Vicugna pacos,
Alpine ibex,,,60
Alpinieae,,,10
Alpinioideae,,,
Alston's brown mouse,,,50
Alticola,,,50
Alvarezsaur,,Alvarezsauria,
Alvarezsauridae subclade 1,,,10
Alvarezsauridae,,,
Alvarezsaurus,,,10
Alwalkeria,,,10
Alxasaurus,,,10
Amami rabbit,,Pentalagus,50
Amargasaurus,,,30
Amaryllidaceae sl subclade 1,,,
Amaryllidaceae sl,,,
Amaryllidoideae,,,10
Amazon bamboo rat,,Dactylomys dactylinus,50
Amazon river dolphin,,Inia geoffrensis,30
Amazonsaurus,,,10
Amblypygi,"[""whip spiders"", ""tailless whip scorpions""]",,10
Amborella,,,50
Ambulocetidae,,,
American badger,,Taxidea,65
American bison,"[""American buffalo""]",,60
American crocodile,,Crocodylus acutus,60
American legless lizard,,Anniella,50
American lion,,Panthera leo atrox,30
American mink,,Neovison vison,50
American shrew mole,,Neurotrichus gibbsii,30
Ameridelphia,,,
Ammonoidea,,,10
Amniote,,Amniota,50
Amoebozoa,,,
Ampelodesmos,,,30
Ampelomeryx,,,10
Amphibamidae subclade 1,,,
Amphibamidae subclade 2,,,
Amphibamidae,,,
Amphibamus,,,10
Amphibian,,"Amphibia, Temnospondyli",70
Amphicoelias,,,10
Amphilemuridae,,,
Amphisbaenia,,,10
Amurosaurus,,,10
Anabisetia,,,10
Ananas ananassoides,,,40
Ananas bracteatus,"[""red pineapple""]",,50
Ananas lucidus,,,40
Ananas macrodontes,,,30
Ananas,,,
Anaspida,,,
Anatosuchus,,,10
Anchiceratops,,,10
Anchiornis,,,10
Anchisauria subclade 1,,,
Anchisauria subclade 2,,,
Anchisauria subclade 3,,,
Anchisauria,,,
Anchisaurus,,,20
Anchitheriinae,,,
Anconastes,,,10
Andropogoneae,,,
Andropogonodae,,,
Anelytropsis,,,30
Angistorhinus,,,10
Anguidae,,,10
Anguimorpha,,,
Anguioidea,,,
Angwantibo,,Arctocebus,50
Animal,,Animalia,95
Animantarx,,,10
Anisodon,,,40
Ankylopollexia,,,
Ankylosauria,,,
Ankylosauridae,,,
Ankylosaurinae subclade 1,,,
Ankylosaurinae,,,
Ankylosaurus,,,70
Annatherapsidus,,,10
Annelid subclade 1,,,
Annelid subclade 2,,,
Annelid,"[""ringed worms"", ""segmented worms""]",Annelida,
Annonaceae,"[""custard apple family""]",,40
Anoa,,"Bubalus quarles, Bubalus depressicornis",50
Anomocephalus,,,20
Anomodontia subclade 1,,,
Anomodontia subclade 2,,,
Anomodontia subclade 3,,,
Anomodontia subclade 4,,,
Anomodontia,,,
Anteater,,Vermilingua,70
Antennacanthopodia,,,10
Anteosaur,,Anteosauria,30
Anteosauridae,,,
Anteosaurinae subclade 1,,,
Anteosaurinae,,,
Anteosaurus,,,20
Antetonitrus,,,10
Anthodon,,,10
Anthozoa,,,
Anthracosaurus,,,10
Anthracotherium,,,10
Antilocapridae,,,
Antilocaprinae,,,
Antilopinae subclade 1,,,
Antilopinae,,,
Antilopine kangaroo,,,40
Antilopini subclade 1,,,
Antilopini subclade 2,,,
Antilopini subclade 3,,,
Antilopini subclade 4,,,
Antilopini,,,
Anzu,,,10
Apatoraptor,,,10
Apatosaurinae,,,
Apatosaurus,,,50
Ape,,Hominoidea,60
Aphyllanthes,,,30
Apostasioideae,,,10
Appalachiosaurus,,,10
Arabian tahr,,,50
Arachnid subclade 1,,,
Arachnid subclade 2,,,
Arachnid subclade 3,,,
Arachnid,,Arachnida,60
Araeoscelidia,,,
Araeoscelis,,,10
Araeosceloidea,,,
Arandaspida,,,
Araripesuchus,,,10
Araucaria,,,50
Araucariaceae,,,
Archaea,,,
Archaeoceratops,,,10
Archaeopteris,,,10
Archaeopteryx,,,60
Archaeosyodon,,,10
Archaeovenator,,,10
Archaeplastida,,,
Archegosaurus,,,10
Archeria,,,10
Archosauria,,,
Archosauriformes,,,
Archosauromorpha,,,
Arctognathus,,,10
Arctoidea subclade 1,,,
Arctoidea,,,
Ardipithecus,,,
Arecales,,,
Argali,"[""Mountain sheep""]",Ovis ammon,50
Arganaceras,,,10
Aristideae,,,10
Aristolochia,,,55
Aristolochiaceae,,,
Arizonasaurus,,,20
Armadillo girdled lizard,,Ouroborus cataphractus,50
Armadillo,,Dasypodidae,70
Armadillosuchus,,,10
Armored rat,,Hoplomys gymnurus,50
Arrhinoceratops,,,10
Arsinoitheriidae,,,10
Arthropod subclade 1,,,
Arthropod subclade 2,,,
Arthropod subclade 3,,,
Arthropod,,Arthropoda,50
Artiofabula,,,
Artiopoda subclade 1,,,
Artiopoda subclade 2,,,
artiopoda,,,
Arundinelleae,,,10
Arundinoideae,,,10
Arvicola,,,
Arvicolinae,,,
Arvicolini,,,
Asaroideae,,,
Ascarina,,,50
Asian badger,,Meles leucurus,60
Asian elephant,,Elephas maximus,85
Asian rice,,Oryza sativa,75
Asparagaceae sl subclade 1,,,
Asparagaceae sl subclade 2,,,
Asparagaceae sl subclade 3,,,
Asparagaceae sl subclade 4,,,
Asparagaceae sl subclade 5,,,
Asparagaceae sl,,,
Asparagales subclade 1,,,
Asparagales subclade 2,,,
Asparagales subclade 3,,,
Asparagales subclade 4,,,
Asparagales subclade 5,,,
Asparagales subclade 6,,,
Asparagales subclade 7,,,
Asparagales subclade 8,,,
Asparagales,,,
Asparagus,,,60
Asteliaceae,,,10
Asteroxylon,,,10
Athrotaxis,,,50
Atlantic forest climbing mouse,,Rhipidomys mastacalis,50
Atrociraptor,,,10
Attercopus,,,10
Aturia,,,10
Aucasaurus,,,10
Augustasaurus,,,10
Aulacocephalodon,,,10
Aulophyseter,,,
Aurochs,,Bos primigenius primigenius,10
Aurornis,,,10
Australerpeton,,,10
Australian water dragon,,Intellagama lesueurii,55
Australidelphia subclade 1,,,
Australidelphia,,,
Australobarbarus,,,10
Australopithecus afarensis,,,
Australosyodon,,,10
Australovenator,,,10
Austrobaileyales,,,
Austroraptor,,,10
Avaceratops,,,10
Avemetatarsalia,,,
Averostra,,,
Avetheropoda,,,
Avimimus,,,10
Avocado,"[""Alligator pear""]",Persea americana,70
Babirusa,"[""deer-pig""]",,50
Bacteria,,,70
Bagaceratops,,,10
Baiji,"[""Chinese river dolphin"", ""Yangtze River dolphin""]",Lipotes vexillifer,20
Bailongia,,,10
Balaenidae,,,
Balaenoptera,,,
Balanerpeton,,,10
Baleen whale,,Mysticeti,60
Bambiraptor,,,10
Bamboo rat,,Rhizomyini,50
Bamboo,,,70
Banana,,Musa,80
Banded hare-wallaby,"[""Munning""]",Lagostrophus fasciatus,30
Banteng,,,50
Baragwanathia,,,10
Barapasaurus,,,10
Barbary sheep,,Ammotragus lervia,50
Barley,,,60
Barosaurus,,,10
Baryonychinae,,,
Baryonyx,,,20
Baryphracta,,,10
Basiliscus,,,50
Basilosauridae,,,
Basilosaurus,,,20
Bassaricyon subclade 1,,,
Bassaricyon subclade 2,,,
Bassaricyon,,,
Bassariscus,,,
Bat-eared fox,,Otocyon megalotis,50
Bat,,Chiroptera,70
Batrachia,,,
Batrachotomus,,,10
Baurioidea subclade 1,,,
Baurioidea subclade 2,,,
